x,y,species logistic values
753.0,753.0,0.0011463026
754.0,754.0,0.48794988
755.0,755.0,7.1298727E-9
756.0,756.0,0.016036145
757.0,757.0,8.2114944E-4
758.0,758.0,0.010617084
759.0,759.0,0.003295876
760.0,760.0,3.1128209E-4
761.0,761.0,0.15382123
762.0,762.0,0.042626753
763.0,763.0,1.5393722E-4
764.0,764.0,0.027685633
765.0,765.0,0.06234086
766.0,766.0,0.009466051
767.0,767.0,0.0066643683
768.0,768.0,0.0023629537
769.0,769.0,0.0033549687
770.0,770.0,5.7167682E-8
771.0,771.0,7.212059E-4
772.0,772.0,1.7643231E-5
773.0,773.0,2.7064453E-10
774.0,774.0,0.008321661
775.0,775.0,0.09276147
776.0,776.0,0.21012221
777.0,777.0,0.064731896
778.0,778.0,0.23079768
779.0,779.0,3.041201E-7
780.0,780.0,0.23547754
781.0,781.0,1.5418963E-4
782.0,782.0,0.0014331344
783.0,783.0,0.037658073
784.0,784.0,0.11281036
785.0,785.0,0.07585048
786.0,786.0,0.062974066
787.0,787.0,8.691969E-8
788.0,788.0,0.07533893
789.0,789.0,0.008733297
790.0,790.0,0.028139876
791.0,791.0,1.7245861E-7
792.0,792.0,9.059761E-5
793.0,793.0,8.066373E-7
794.0,794.0,0.023524739
795.0,795.0,2.2906455E-4
796.0,796.0,2.389415E-5
797.0,797.0,0.05841237
798.0,798.0,0.0033122827
799.0,799.0,0.05907498
800.0,800.0,0.13424478
801.0,801.0,0.15404633
802.0,802.0,0.0027169483
803.0,803.0,4.0856335E-6
804.0,804.0,0.03116906
805.0,805.0,0.060889788
806.0,806.0,8.938843E-9
807.0,807.0,2.5053057E-5
808.0,808.0,2.2671106E-11
809.0,809.0,1.6267004E-9
810.0,810.0,1.6477441E-5
811.0,811.0,0.0016680157
812.0,812.0,0.03156555
813.0,813.0,0.011971047
814.0,814.0,0.23359737
815.0,815.0,0.5105837
816.0,816.0,0.0066101635
817.0,817.0,3.30111E-5
818.0,818.0,0.03164754
819.0,819.0,0.0047365604
820.0,820.0,0.005444185
821.0,821.0,0.009981633
822.0,822.0,0.010921422
823.0,823.0,0.041650437
824.0,824.0,0.020038502
825.0,825.0,3.5690213E-5
826.0,826.0,8.102612E-5
827.0,827.0,6.921432E-5
828.0,828.0,0.15163276
829.0,829.0,0.07540176
830.0,830.0,0.010763447
831.0,831.0,0.13047048
832.0,832.0,0.05836874
833.0,833.0,0.2586252
834.0,834.0,0.17993174
835.0,835.0,5.867313E-8
836.0,836.0,0.0360086
837.0,837.0,0.0026212528
838.0,838.0,0.34788644
839.0,839.0,0.6476719
840.0,840.0,0.12770514
841.0,841.0,2.9003047E-9
842.0,842.0,0.0024016744
843.0,843.0,1.8265526E-5
844.0,844.0,0.15148564
845.0,845.0,0.031155868
846.0,846.0,0.1271311
847.0,847.0,5.432047E-4
848.0,848.0,0.038704596
849.0,849.0,2.5016475E-10
850.0,850.0,0.16917416
851.0,851.0,0.037296604
852.0,852.0,0.26102132
853.0,853.0,1.801408E-5
854.0,854.0,4.947777E-4
855.0,855.0,2.4157873E-6
856.0,856.0,8.207643E-10
857.0,857.0,4.57281E-4
858.0,858.0,0.002598302
859.0,859.0,3.43956E-6
860.0,860.0,0.008811118
861.0,861.0,1.3735419E-6
862.0,862.0,0.1639611
863.0,863.0,9.584335E-8
864.0,864.0,8.799087E-6
865.0,865.0,0.02876362
866.0,866.0,0.0883198
867.0,867.0,1.380289E-7
868.0,868.0,1.9293391E-7
869.0,869.0,9.857296E-7
870.0,870.0,7.205447E-6
871.0,871.0,1.3771287E-7
872.0,872.0,2.6971774E-11
873.0,873.0,0.050587974
874.0,874.0,0.025617145
875.0,875.0,0.030996636
876.0,876.0,0.110137984
877.0,877.0,9.366542E-10
878.0,878.0,3.644998E-6
879.0,879.0,0.028780345
880.0,880.0,0.06116212
881.0,881.0,3.4713735E-6
882.0,882.0,0.0031660378
883.0,883.0,2.204731E-6
884.0,884.0,0.057054054
885.0,885.0,0.04543548
886.0,886.0,0.18696408
887.0,887.0,0.023640526
888.0,888.0,0.020836627
889.0,889.0,0.025064563
890.0,890.0,8.0593987E-10
891.0,891.0,8.121371E-8
892.0,892.0,0.22789234
893.0,893.0,5.3016536E-10
894.0,894.0,2.7531668E-8
895.0,895.0,0.05329525
896.0,896.0,0.0636544
897.0,897.0,0.113546476
898.0,898.0,0.01947061
899.0,899.0,0.13172117
900.0,900.0,0.03666347
901.0,901.0,0.09946893
902.0,902.0,0.020206776
903.0,903.0,1.4601017E-7
904.0,904.0,0.062100813
905.0,905.0,0.06702496
906.0,906.0,0.05230418
907.0,907.0,1.0564097E-9
908.0,908.0,1.0641299E-4
909.0,909.0,0.049259607
910.0,910.0,0.13112022
911.0,911.0,0.116364606
912.0,912.0,0.07225019
913.0,913.0,0.041665327
914.0,914.0,1.5755116E-7
915.0,915.0,1.5032237E-8
916.0,916.0,3.988888E-6
917.0,917.0,4.9286637E-6
918.0,918.0,0.18260738
919.0,919.0,0.007513818
920.0,920.0,7.82304E-9
921.0,921.0,0.0015740411
922.0,922.0,2.3555485E-4
923.0,923.0,9.103401E-4
924.0,924.0,0.6135433
